test_id,test_name,attr_id,attr_name,unique
10057,Grouping + Cross Matching + Screening,10434.0,Donor Name :,"['Mahmudul Hasan' 'Md. Mofizul Islam' 'Saurav Hossain' 'Mohammad ariful'
 'Tafazzal Hossain' 'Kamal Hossain' 'Seyam' 'Sojol' 'Mahbubur Rahman'
 'Abu Raihan' 'Mamunur Rashid' 'Aminur Islam' 'Muzahidul' 'Nur Alom'
 'Khalilur Rahman' 'Nishad Rumman' 'Junaid Hossain' 'Jagadish'
 'Taifur Sharif' 'Koushik Halder' 'Jubair Hosen' 'Md. Ashikullah Sarker'
 'Md. Forhad Mahmud' 'Rokibul Islam' 'Linkon' 'Noyim Uddin' 'Nezam'
 'Nazmul Hossain' 'Muinul Islam' 'Rakib Hasan' 'Md Jabed  Ali'
 'A K M Ahsan Jaman' 'Kazi Faisal' 'Md. Rakibul Islam Shanto' 'Asad'
 'Md Ridwan Tanvir' 'Mahfuzur Rahman' 'Md Bellal' 'Yasmin Begum'
 'Fakrul Abedin' 'Sadzadul Haque' 'Tanvir Ahmed' 'Habibur Rahman' 'Tuhid'
 'Md Monir' 'Mahmudur nabi' 'Emon' 'Shahin Alom' 'Saiful Alom'
 'Dipok Mondol' 'Salauddin Ahmed' 'Moniruzzaman Ripon'
 'Md. Mahabub Rahman' 'Monir' 'Dr. Nandita' 'Md Golam Fahad' 'Md Sabbir'
 'Md Nazmul Hossain' 'Mahbubul Hasan' 'Dr mostafa kamal'
 'Md.Touhidul Islam' 'Arif' 'Mazharul Islam' 'Mitu Gomez' 'Bablu Pranto'
 'Jiaul Kader' 'Nasir Uddin' 'Mijbah Uddin Sarker' 'Tanim Isam'
 'Muhammod Anisul Mowza' 'Ariful Islam Arif' 'Rifat E Ahsara' 'Md Rahat'
 'MD Mehedi Hasan' 'R M Mahmudul Hasan' 'Bappa' 'Saddam Hossen'
 'Md, Rasel' 'Md Maidul Islam Saikat' 'Jannatul Ferdaus'
 'Subha Liana Talukder' 'Azharul Islam' 'Abdul Momen' 'Md Raseduzzaman'
 'Moniruzzaman' 'Shiblu' 'Dr Shibly' 'Naznin' 'Md Ashad'
 'Syed Naushad Zaman' 'A.M Shahrear' 'Shahidul Alom' 'Md Rezaul Karim'
 'Tonmoy' 'Fattah Bin Taher' 'Rawshon Ara' 'Hosne Ara' 'Monibur Rahman'
 'Laisur Rahaman' 'Rakibul Islam' 'Ehtesham' 'Zakir Hossain'
 'Khaled Saifullah' 'Maruf' 'Md Fahad' 'Ulfat Bin Urma' 'A.K.M Fazlul'
 'Lubna' 'MD. Kheirul Alom' 'A K M Nur A Rabbi' 'Riaz' 'Tarek Mahmud'
 'Moin Khandaker' 'Md Shahjalal' 'Shopon' 'Md.Motaleb Mia'
 'Sheikh Farhaduzzaman' 'Shaon' 'Mahsinur Rahman' 'Sayem' 'Juwel' 'Shohel'
 'Abdullah-Al-Hadi' 'Mejbah Bin Mosharrof' 'Dr Md Moazzem Hossain'
 'Rajib Ahmed' 'Anowar Hossain' 'Nur-Alom' 'Ashik' 'Masud Munna'
 'Humayun Kabir' 'Sajib' 'Dr. Sharmin Sultana' 'Faisal' 'Abdul Quayum'
 'Md Yaqub Ali' 'Md. Abrar' 'Abdullah All Mamun' 'Shamsher Ullah'
 'Ridoy Khan Mim' 'Md Monjur Hasan' 'MD. Shah Arefin Amin' 'Md Asif Uddin'
 'Sohag Miah' 'Md Faysal' 'Nipon Banik' 'Riftabin' 'Kawser Khan'
 'Md Shaiful Islam' 'Fahim' 'Mohim Ahmed' 'Aframim' 'Momen Hossain'
 'S K Mondol' 'Rubaiyat Shafat' 'Sammajit Banik' 'Shohel Shariar'
 'Firoz Mahmud Khan' 'Saimun Hossain' 'Farrukh Ahmed' 'Rabiul Islam'
 'Salman Chowdhury' 'Clement Mondal' 'Sakibur Rahman' 'Rezaul Karim'
 'Khondoker Shafiul Alam' 'Mohabbot Hossain' 'Md. Rajib Ahmed'
 'Mahir Labib Antu' 'Asaduzzaman' 'Huzaifa' 'Md. Ishaka Ali sarker'
 'Shaekh Ahmed' 'Mehedi Hasan' 'Nahian Antu' 'Ashraful Alam'
 'Md. Ashraful Haq' 'Bappy Mirdha' 'Lipi Roy' 'Nazmul Hasan' 'Md. Sujon'
 'Mirza Borhan Kabir' 'Shuvo' 'Md Jamil Hossain' 'MD Rashedul Islam'
 'Rizve Ahmed' 'Imran' 'Sadman Sakib' 'Roman' 'Md Masudul Alam'
 'Md Sharoar Ahmed' 'Kazi Marzana Rahman' 'Samsuz Zaman'
 'Md.Shahidul Alam' 'Md.Abdul Bari' 'Usman Goni Anik' 'Md Sujon' 'Amitab'
 'Joy Gobinda Ghosh' 'Atib' 'Zahid Hasan' 'Md.Sanwar Hossain'
 'Golam Sarwar' 'Aashique Rahman' 'Farzana Akter' 'Mohammad'
 'Md. Shahed Rahman' 'Nishu' 'Ershadur Rahman' 'Md Helal' 'Sabbir Ahmed'
 'Tajuddin Ahmed' 'Parvez Kawsar' 'Supti Dipnath' 'Nabila Nowshin' 'Mamun'
 'Shorif' 'Sabina Akter' 'Nahid Hasan' 'Md. Solsaiman' 'Musa' 'Enamul'
 'Md. Mohin Uddin Khokon' 'Saiful Islam' 'Sohag Howlader' 'Awlad Hossain'
 'Md. Sazzad Hossain' 'Tanvir' 'Rabeya Bibi' 'Ananta' 'Raju'
 'Tariqul Parvej' 'Naju Akther' 'Jhorna' 'Md. Sabbir Hossain' 'Md. Tajul'
 'Dola Podder' 'Mehedi Hossain' 'Sayeed' 'Oli Ullah' 'Safikul Islam'
 'Shahidul Alam' 'Ruhul Amin' 'Adnan Bhuiyan' 'Ashikur Rahman' 'Evan'
 'Mominul Islam' 'Minhaz Shekh' 'Nur -E -Alam' 'Md. Salauddin' 'Naser'
 'Sayedul Islam khan' 'Sheikh Md. Meheraj' 'Aminur' 'Pryota Khandakar'
 'Khairuzzaman' 'Munni Akter' 'Mushfiq Rahman' 'Md.. Khokon' 'Milon'
 'Murad Sarker' 'Afiful Islam' 'Md Suzon' 'Dr.Hasan Rizvi' 'Sheikh Sazzad'
 'Noman' 'Md Maksudul' 'Abdul Alim' 'Hafiz Mohammad' 'Md.Shamsur Rahman'
 'Md Khabir Uddin' 'Anower Sadat' 'Md.Shafiqul Islam' 'Imtiaz Ahmed'
 'Md Razib Monowar' 'Samir Biswas' 'Md Sobuj Mollah'
 'Dr Dewan Arifur Rahman' 'Yousuf' 'Din Mohammad' 'Md Mahbubul Islam'
 'Ferdous' 'Nayem' 'Mdmushfiqur Rahman' 'Tanbir' 'Rashed Hawlader'
 'Md.Nayon Hossain' 'Md Ali Akber' 'Md Rafi' 'Nurul Amin' 'Syed Rubyat'
 'Md Mahabub  Ashraf' 'AShaduzzaman Dipu' 'Md Abu Saiyem' 'Mr.Sabbir'
 'Rakhi Mollikh' 'Masud Rana' 'Shawon' 'MD Delowar' 'Md. Jahirul Islam'
 'Towhid' 'Kazi Abdul Mujid' 'Jahid Hasan' 'Shaila Akther' 'Prince'
 'Md Shamim' 'Parvez' 'Rokon' 'Sumon' 'Ishaque Khan' 'Md Ashikur Rahman'
 'Mark Sarker' 'Shanto Islam' 'Md salim' 'Mahin' 'Md Zobayer Hossain'
 'Sayeem' 'Pranto' 'Md Omar Faruk' 'Md . Muktadir Ahmed'
 'KM. TAHIDUR RAHMAN' 'Md .Shibli Nomani' 'Md. Saikat' 'Md Jamsedul Alom'
 'Md Mubin Khan' 'Suman Paul' 'Md.Shibly Ahmed'
 'Md.Samiul Islam Mollik Shad' 'Md . Shahin Hossain' 'Shumon'
 'Md Mijanur Rahman' 'Md  Aman Ullah' 'Md Rasel Khan' 'Ishmam Mahdy'
 'Sakib' 'Amin Hamza' 'Nazmul' 'Shuma' 'Farah Binte' 'Dr.Rita Akhter'
 'Md Sazzad Mahmud' 'Aminul Islam' 'Saikat Das Gupta' 'Md. Abdur Rahman'
 'Arif Zamir' 'Ashikuzzaman' 'Md. Litonuzaman' 'Abdullah'
 'Sumaiya Jaman Lia' 'Moshiur Rahman' 'Ariful Islam' 'Dr Md Raisul Islam'
 'Anamul Islam' 'Md Nayem' 'Ahmed Fazle Rabbi' 'Mehidi Akash'
 'Bedaura Bipasha' 'Aymun Mia' 'Nasir Al Mamun' 'Shafuat' 'A.S.M Nasim'
 'Md. Azizul Islam' 'Ismail Hossain' 'Mamun Bhuiyan' 'Ahsan Uddin'
 'Shovon' 'Abdullahel Kafi' 'Dr. Tanveer' 'm' 'Sunny' 'Abdul Matin'
 'Sarif' 'Shahjalal' 'Nazmul Arifin' 'Bag-1 (Out Sample)'
 'Bag-2 (Out Sample)' 'Niloy' 'Badol' 'Apu Hossain' 'Eshan'
 'Fairooze Islam' 'Md. Golam Shahariar' 'Munirul Islam' 'Md. Razin'
 'Mahabbat' 'Mr. Khairul' 'Rini' 'Sk. Md. Safayet Billah' 'Jasim Uddin'
 'Md. Muzammel Haque' 'Md. Jamshedul Alam' 'Sheik Sabbir Ahmed' 'Masum'
 'Mitul' 'Sathi' 'Mumu' 'Arefin' 'Md. Amirul Islam' 'Md Samsul Alom'
 'Md Nur Alam' 'Md Masudur Rahman' 'Adilur Rahman' 'Md Taufiqur Rahman'
 'Hanif Kaiser' 'Asif Ahmed' 'Mohammad Razib' 'Md Abdul Motaleb Sarkar'
 'Chandon Roy' 'Jewel' 'Takian Alam' 'Md Rajib' 'Anik' 'kazi Ehsanul Bari'
 'Md. Olil Molla' 'Md. Afaz Uddin' 'Md Sohel Rana' 'Junayed  Ahmed'
 'Rubayet Ahmed' 'Tofayel A. Patwary' 'Kamrul Islam Khan' 'Forhad Hossain'
 'Hasan Arif' 'Hasan Kabir' 'Rajesh Mollik' 'Tonyma Sanwar' 'Md Rabbi'
 'Miftahul Jannat' 'Ali Adir' 'Shaikat Das Gupta' 'Rashed Jaman'
 'Shibly Rahman' 'Khailul Islam' 'Hojaifa Rahman' 'Mahmuda Begum'
 'Dr.Moniruzzaman' 'Md. Shariful Islam' 'Dr.Mominul' 'Shohag'
 'Abdul Monaim' 'Tasfique' 'Mustafiz' 'Ataur Rahman' 'Md.Nasir Uddin'
 'Johny Ahmed' 'Rafiul Islam' 'Nadim' 'Md Julfiker' 'Md Jahir Hossain'
 'Nazmul Alom' 'Md Ishak Ali' 'Saki  Islam' 'Mesbah' 'Takdiur Rahman'
 'Rasel Ahmed' 'Arafat' 'Ziaur Rahman' 'Saiful' 'Jashim' 'Golam Kibria'
 'Manik Ahmed' 'Raj' 'Mehedi Hassan' 'Ramzan' 'Khaled' 'Rubel Hossain'
 'Daney' 'Md. Selim' 'Aslam' 'Md. Ziaur' 'Shithi' 'Emteaz' 'Selim Ahmed'
 'Faridul Islam' 'Md. Abdullah Al Mamun' 'Yamin' 'Md. Salah Uddin' 'Miraz'
 'Mahbub' 'Babul Hossain' 'Md. Arman Sarker' 'Latif' 'Dedarul Islam'
 'Ripon' 'Farabi' 'Abu Nayem' 'Sajal' 'Pronay' 'Kamrul Hassan'
 'Zahidul Islam' 'Kamruzzaman' 'Amit Kumar' 'Sazib Biswas' 'Nur Muhammad'
 'Md Masud Rana' 'Mohidul  Aslam' 'Abu Bakar' 'Habib' 'Md Reshad Tanvir'
 'Md.Istiak Rokon' 'Omor Faruk Sifat' 'Al-Amin Kari' 'Mozammel Haque'
 'Md. Ayub Ali' 'Md. Mamun OR Rashid' 'Anika Salsabil' 'Md. AnisurRahman'
 'Badhon Ashin' 'Sagor' 'Shapu' 'Md Billal Hossen' 'Md Shohel Mia'
 'Pantho' 'Afsarul Karim' 'Md. Rayhan Ali Mollah' 'Dhrubo Gomes'
 'Mostafizur Rahman' 'Shewly' 'Mithila' 'Md Rakib' 'Atiquzzaman'
 'Md Mahin' 'Tabassum Saima' 'Sadman' 'Md. Ishtiak Ahmed'
 'Md. Tarik Hossain' 'Md.Hossain Khan' 'Md.Ersad Ali' 'Arif Hossain'
 'Dr Tanjirul Islam' 'Kohinur Akter' 'Nazrul Islam' 'Md Kamrul Hasan'
 'Md Awlad Hossen' 'Bayzid' 'Mehedi' 'Md. Nurunobi' 'Abdullah Al Mamun'
 'Meftaul Ferdous' 'Md.Saiful Islam' 'Mahmud Hasan' 'Yousuf Khan'
 'S.M Abu Sufian' 'Kazi Rifat' 'Dr.Jahidul Islam' 'Dr Imtiaz' 'Nawshim'
 'Md Yeasin' 'Azmain' 'Md Anowar Hossain' 'Aurin' 'Raju Ahmed'
 'Oayes koroni' 'Surojit Sarker' 'Md Sazzad' 'Md. Sohag'
 'Kazi Samiur Rahman' 'Md Shakib Hasan' 'Rafiur Rahman' 'Rashed Islam'
 'Saha Azom' 'Raz' 'Fahrina' 'Amit Sinha' 'Md Muktarul Islam'
 'Monjurul Islam' 'Kazi Azna' 'Mustafizur Rahman' 'Shagoto'
 'Md Ariful Islam' 'Md Saroyer' 'Rezur Rahman' 'Shihab' 'Sukur Ali'
 'Shyamol' 'Kamrus Salam' 'Mahfuzure Rahman' 'Md Sakibur' 'Chandan Roy'
 'Joynal Emon' 'Rofikul Boby' 'Nafisa' 'Mir Shaifullah' 'Md Yosuf Ali'
 'Md Kibria islam' 'Nasim' 'Bhabna' 'Saiful Hossain' 'K.M. Aowlad Hossain'
 'Md.Khabirul' 'Farhad Ahammed' 'Rakib' 'Ashif' 'Md.Bodiozzaman'
 'Auwal Hossen' 'Obaidur' 'Sobuj Foraji' 'Safayet Anwar' 'Md. Emran'
 'Imam Hassan' 'Naeefy' 'Jahangir' 'Shahin' 'Ajgor Ali' 'Riaz Sarker'
 'Nazmul Mir' 'Anamul Haque' 'Mizanur Rahman' 'Rokunuzzaman' 'Runa'
 'Anwarul Islam' 'Rashedul Islam' 'Md. Zakaria' 'Shahinur Rahman'
 'Ezaz Ahmed' 'Jannatun Razia' 'Riad' 'Arif Ahamed' 'Jahid' 'Sadia'
 'Mustafizur' 'Mizanur' 'Tahmina Khatun' 'Tareq' 'Iddris Ali'
 'Md. Omar Faruq' 'Teon' 'Rana Ahmed' 'Rafiqul Hasan' 'Ashik Hasan'
 'Shah Imran' 'Toslim Ahmed' 'Hasib Murtaza' 'Arifur Zaman Arif'
 'Deepa Das' 'Kibria' 'Jennifer' 'Rafiqul Islam' 'Rafi' 'Farzana'
 'Moin Rahman' 'Tarek Alam' 'Shuvro' 'Rifat' 'Hozaifa' 'Abu Sayed'
 'Hamidur Rahman' 'Sohel' 'Newton Tanchangua' 'Tarana Halim'
 'Ashikun Rahman' 'Golam Rabbani' 'Jubayer Ahmed' 'Lisa' 'Fuad'
 'Hridoy Khan' 'Md, Abul Kashem' 'Ashikur Rahman Lavlu'
 'Md. Thaherul Islam' 'Md. Taherul Islam' 'Md Rahat Sikder'
 'Tahrina Morsalin' 'Md. Sakhaowat Hossain'
 'Md. Shakil Uddin Khan (Kanon)' 'Md.Atikur Rahman' 'Md Amir Hossen'
 'Pavel Mahmud' 'Woali Nasser' 'Sarjil' 'Ariful Alom' 'Mr. Abdur Rab'
 'Motahar Hossain' 'Sajol' 'Sajidul Islam' 'Dewan Farhan Bin Mahbub'
 'Obhijit Roy' 'Debashis Roy' 'Abu Naser Manik' 'Md. Helal'
 'Tamim Alauddin' 'Shezan Bepari' 'Md . Abu Hanif' 'Sobuj' 'Ahadul Islam'
 'Saief Aus Sultan' 'Md Tofazzal' 'Md Jasim Mia' 'Md. Monirul Islam'
 'Md Atikur Rahman' 'Md.Aftab Uddin Khan' 'Md.Hasanuzzaman'
 'Bipul Hossain' 'Md. Roman Hossain' 'Md. Abu Hasan' 'Shahidul Amin'
 'Abdullah Baser Rumi' 'Rion Khan' 'Md Rasel Hossen' 'Rakibul Hasan'
 'Md. Sarwar' 'Ziaul Islam' 'Md Mahabbat' 'Md Habibur Raman'
 'Rokonur Rahman' 'Hafizur Rahman Khan' 'Md . Sakil' 'Anwar Parvez'
 'Sakibul Alam' 'Soma Ferdoush' 'Md Robiul Awoul' 'Md.Muid Hossain'
 'Md. Fazley Rabbi' 'Raihan Ahmed' 'Md Mostakim Billah' 'Md Yamin Khan'
 'Md Rubel' 'Md , Zahidul Haque' 'Dr. Sadi' 'Md Imran' 'Uzzal'
 'Md Alomgir' 'Md Naimul Haque' 'Atikur Rahman' 'Ashraful Islam'
 'Abdulla Enam' 'Kavin K. Khandoker' 'abdullah Muhammad Tasnim'
 'Ratul Shaha' 'Andalib Rahman' 'Zaman' 'Dr.Md Zunaid' 'Md. Wazed'
 'Tahmid' 'Faysal' 'Md. Kawsar' 'Mashukul Alam' 'Md Abu Sayeed'
 'Md Mejbah' 'Md Amirul Basar' 'Md Shamshul Alam' 'Seyam Sarker'
 'Md. Yeasin' 'Durjoy' 'Md Momen' 'Md. Mominul Islam' 'Tapos'
 'Md Asadullah' 'Shahed' 'Md Zakir' 'Sardar' 'Abdul Hamid'
 'Md Rubel Hossain' 'Prodipto Bamik' 'Nazmus  Shakib' 'Md Asaduzzaman'
 'Mir' 'Tanzid' 'Mainul Haque' 'Md. Forhadul Islam' 'Asad Ahmed'
 'Md Mamun' 'Mosheul Alam' 'Tanvir Siddique' 'Minul Islam Shamim'
 'Md Monabbrul  Hasan' 'Md Moinul Hosan' 'Wasim' 'Dr. Shrabon' 'Akib'
 'Shariful Islam' 'Md Anwarul' 'Md Ridwanul Karimn' 'Tanif' 'Masoma Zaman'
 'Rexon Begum' 'Tashion Amheed' 'Labonno' 'Mishbahul Haque'
 'Md Ashraf Uddin' 'Khokon' 'Md Arafat']"
10057,Grouping + Cross Matching + Screening,10435.0,Age :,"['26 Yrs' '43 Yrs' '36 Yrs' '27 Yrs' '34 Yrs' '30 Yrs' '25 Yrs' '31 Yrs'
 '45 Yrs' '23 Yrs' '28 Yrs' '21 Yrs' '24 Yrs' '32 Yrs' '48 Yrs' '38 Yrs'
 '20 Yrs' '33 Yrs' '00 Yrs' '19 Yrs' '35 Yrs' '29 Yrs' '22 Yrs' '40 Yrs'
 '39 Yrs' '47 Yrs' '42 Yrs' '44 Yrs' '41 Yrs' '46 Yrs' '37 Yrs' '18 Yrs'
 '50 Yrs' '30Y' '25 Y' '23Yrs' '35 Y' '24 yrs' '32 yrs' '29Y' '28 Yrs.'
 '29 Yrs.' '26 Yrs.' '54 Yrs' '39yrs' '38yrs' '31Y' '32 Yrs.' '30 Yrs.'
 '40 Y' '25Yrs']"
10057,Grouping + Cross Matching + Screening,10436.0,Gender :,['Male' 'Female' 'male' 'M' 'MAle' 'F' 'M/F']
10057,Grouping + Cross Matching + Screening,10437.0,Blood Component :,"['PRBC' 'Whole Blood' 'Whole blood' 'FFP' 'Washed PRBC' 'PRBC(130 Ml)'
 'Whole Blood (100ML)' 'PRBC(220ml)' 'Whole Blood(150ml)' 'Packed cell'
 'PRBC  (200 ML)' 'PRBC (100ml)' 'Whole Blood (150 ML'
 'Platelet Concentrate' 'Washed PRBC (120 ml)' 'Washed PRBC (120ml)'
 'PRBC(170 Ml)' 'PRBC ( 150 ml )' 'PRBC (90 ML)' 'Washed PRBC (100 Ml)'
 'PRBC (130 ML)']"
10057,Grouping + Cross Matching + Screening,10438.0,Cross Match with donor,"['Compatible' 'Incompatible' 'InCompatible(Minor)' 'Compitable'
 'compatible' 'Comaptible' 'InCompatible']"
10057,Grouping + Cross Matching + Screening,10440.0,1.  HBsAg,['Negative' 'Positive']
10057,Grouping + Cross Matching + Screening,10441.0,2.  Anti HCV,['Negative' 'Postive']
10057,Grouping + Cross Matching + Screening,10442.0,3.  HIV I & II,['Negative' '\\Negative']
10057,Grouping + Cross Matching + Screening,10443.0,4.  Syphilis (VDRL),['Non Reactive' 'Negative' 'Non reactive' 'Non-Reactive' 'Non-reactive']
10057,Grouping + Cross Matching + Screening,10444.0,5.  Malarial Parasite(ICT),['Negative' 'Not found' 'Not Found' 'Nor Found']
10059,Peptide,10448.0,C- Peptide,['>20']
10062,Acetone (Urine),10451.0,Acetone,['Absent']
10063,Urine R/S,10452.0,Reducing Substance,['Nil']
100639,D-Dimer,101351.0,D-Dimer,['> 12800' '>4000.0']
100689,Stool/Fecal for Calprotectin,101371.0,Stool for Calprotectin,['>1000' '>1000.0' '> 1000.0']
10071,Anti-HBs,10461.0,Anti-HBs,['> 1000.00' '>1000.00' '> 25000.00']
100797,Rose Waaler Test,100453.0,Rose Waaler Test,['Negative']
100805,CRP (C-Reactive Protein),100638.0,CRP (C-Reactive Protein),['> 320.0']
100877,TC (WBC),102978.0,White Blood Cells,"['6,500' '12,500']"
100882,BT/CT,102022.0,Bleeding time,['2:30']
100884,Reticulocyte Count,102025.0,Reticulocyte Count,['4%']
100910,Serum Vitamin B12,102074.0,Serum Vit. B-12,['> 6000']
100921,Lipid Profile Serum (R),103730.0,LDL Cholesterol,['**' '--' '---' '-' '*' '***']
101046,Anti-CCP Antibody (ELISA),100498.0,Anti CCP Antibody,['> 1200.0']
101049,Protein S,100435.0,Protein-S,['>132.0']
10105,Glucose 2hrs After Meal Blood,10583.0,Corresponding urine sugar,['N/S']
10107,"Stock W/B, PBRC",10587.0,Unit :,['1 Unit' '01 Unit']
10107,"Stock W/B, PBRC",10588.0,Rh Type :,['Positive' 'Negative']
10107,"Stock W/B, PBRC",10589.0,Donor information :,['Stock' 'Stock Blood' 'STOCK W/B']
10107,"Stock W/B, PBRC",10590.0,Donor Name :,"['Stock' 'Nurul Islam' 'Sayed Mashrur Hasan' 'Md Jamanur Rahman' 'Shohag'
 'Stock Blood' 'Md Khorsed Alom' 'Al-Wazid Sarker']"
10107,"Stock W/B, PBRC",10591.0,Age :,['00 Yrs' '38 Yrs' '27 yrs' '19 Yrs' '26 Yrs' '27 Yrs' '23 Yrs']
10107,"Stock W/B, PBRC",10592.0,Gender :,['Male']
10107,"Stock W/B, PBRC",10593.0,Blood Group :,"['""A""' '""O""' '""B""' ""''O''"" '""AB""' ""''A''""]"
10107,"Stock W/B, PBRC",10594.0,Blood Component :,['Whole Blood' 'PRBC' 'Whole blood' 'whole Blood']
10107,"Stock W/B, PBRC",10595.0,Cross Match with donor :,['Compatible']
10107,"Stock W/B, PBRC",10597.0,1. HBsAg,['Negative' 'Nagetive']
10107,"Stock W/B, PBRC",10598.0,2. Anti HCV,['Negative' 'Nagetive']
10107,"Stock W/B, PBRC",10599.0,3. HIV I & II,['Negative' 'Nagetive']
10107,"Stock W/B, PBRC",10600.0,4. Syphilis (VDRL),['Non Reactive' 'Non Reactivetive' 'Non-Reactive']
10107,"Stock W/B, PBRC",10601.0,5. Malarial Parasite (ICT),['Negative' 'Nagetive']
10109,Ascitic Fluid for AFB,10604.0,AFB,['Not found']
10118,Fungus(GMS) Stain,10616.0,Fungus (GMS) Stain,['No fungal element is identified.' 'No fungal elements identified.']
10119,Malaria Parasite,10617.0,Malaria Parasite,['Not found.' 'Not found']
10121,Filaria Ab (IgM+IgG) ICT,10619.0,Filaria Ab-IgM,['Negative']
10121,Filaria Ab (IgM+IgG) ICT,10620.0,Filaria Ab-IgG,['Negative']
101230,NT Pro BNP,101261.0,NT Pro BNP,['> 5000.0']
101230,NT Pro BNP,101261.0,Pro BNP,['> 25000.0' '> 5000.0']
101231,Troponin I,101262.0,Troponin I,['-+']
10124,Ascitic Fluid for Cytology,10623.0,Lab No :,"['C - 356/20' 'C - 347 /19' 'C - 00 /19' 'C - 447 /19' 'C - 77 /20'
 'C - 517 /19']"
10124,Ascitic Fluid for Cytology,10625.0,Specimen :,['Ascitic fluid for cytology.' 'Ascitic fluid']
